id,codigo,codigo_barras,nome,descricao,categoria,unidade_medida,preco_custo,preco_venda,estoque_atual,estoque_minimo,ncm,cest,aliquota_icms,aliquota_ipi,aliquota_pis,aliquota_cofins,dados_completos,imported_at,api_page
11,11,,,,,Caixas,0.00,0.00,0.00,,,,,,,,"{""id"":""11"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""PARACETAMOL + CODEINA"",""unidadeMedida"":""Caixas"",""valorCustoBase"":""0"",""descricaoProduto"":""PARACETAMOL + CODEINA, FOSFATO-CONCENTRACAO/DOSAGEM 750 MG + 30 MG RESPECTIVAMENTE,FORMA FARMACEUTICA COMPRIMIDO,VIA DE ADMINISTRACAO ORAL"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
12,12,,,,,Caixas,0.00,0.00,0.00,,,,,,,,"{""id"":""12"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" LUVA CIRURGICA"",""unidadeMedida"":""Caixas"",""valorCustoBase"":""0"",""descricaoProduto"":""LUVA CIRURGICA-EM LATEX NATURAL, COM TEXTURA UNIFORME SEM FALHAS, LUBRIFICADA, COM ALTA SENSIBILIDADE TATIL BOA ELASTICIDADE E RESISTENCIA, COM ACABAMENTO NO PUNHO DE FORMATO ANATOMICO;PERFEITA ADAPTACAO, NUMERACAO 6,5, ESTERIL, EMBALADA AOS PARES E ENVELOPADA, O PRODUTO DEVERA SER ENTREGUE ACOMPANHADO DO CA E LAUDO ANAL.LABORAT.,DE CUMPRIMENTO DA NBR13391"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
13,13,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""13"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""REPELENTE"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""REPELENTE-LOCAO ANTI-MOSQUITO, DENGUE, ZIKA, CHIKUNGUNUA E FEBRE AMARELA,TIPO LIQUIDO ATOXICO,FRASCO COM 120ML,USO ADULTO"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
14,14,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""14"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" TERMOMETRO DIGITAL"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""TERMOMETRO DIGITAL-COM LIMITE OPERACIONAL DE -50.0 A 105.0 °C, NA FAIXA DE TEMPERATURA DE -50.0 A 105.0 °C / -58.0 A 221 °F, USADO EM USADO NO MEIO AMBIENTE, NA VOLTAGEM DE BATERIA 9V, PORTATIL DE BOLSO, UTILIZADO PARA MEDIR TEMPERATURA"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
15,15,,,,,Caixas,0.00,0.00,0.00,,,,,,,,"{""id"":""15"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""DRAMIN"",""unidadeMedida"":""Caixas"",""valorCustoBase"":""0"",""descricaoProduto"":""DIMENIDRINATO-CONCENTRACAO/DOSAGEM 100 MG,FORMA FARMACEUTICA COMPRIMIDO,VIA DE ADMINISTRACAO ORAL"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
16,16,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""16"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""DIPIRONA SODICA 500 MG"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""DIPIRONA SODICA-CONCENTRACAO/DOSAGEM 500 MG/ML,FORMA FARMACEUTICA SOLUCAO ORAL,FORMA DE APRESENTACAO FRASCO CONTA-GOTAS,VIA DE ADMINISTRACAO ORAL 10ML"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
17,17,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""17"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""DIPIRONA SODICA 1 G"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""DIPIRONA SODICA-CONCENTRACAO/DOSAGEM 1 G,FORMA FARMACEUTICA COMPRIMIDO,VIA DE ADMINISTRACAO ORAL"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
18,18,,,,,Caixas,0.00,0.00,0.00,,,,,,,,"{""id"":""18"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""PARACETAMOL"",""unidadeMedida"":""Caixas"",""valorCustoBase"":""0"",""descricaoProduto"":""PARACETAMOL-CONCENTRACAO/DOSAGEM 200 MG/ML,FORMA FARMACEUTICA SOLUCAO,FORMA DE APRESENTACAO FRASCO,VIA DE ADMINISTRACAO ORAL"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
19,19,,,,,Pacote,0.00,0.00,0.00,,,,,,,,"{""id"":""19"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""ALGODAO HIDROFILO"",""unidadeMedida"":""Pacote"",""valorCustoBase"":""0"",""descricaoProduto"":""ALGODAO HIDROFILO-COR BRANCA,BOA ABSORVENCIA,MACIO E INODORO, EM BOLAS, COM (3,0 CM DE DIAM)APROX., EM PLASTICO ATOXICO, O PRODUTO DEVERA ESTAR ACONDICIONADO DE FORMA A GARANTIR SUA INTEGRIDADE, A APRESENTACAO DO PRODUTO DEVERA OBEDECER A LEGISLACAO ATUAL VIGENTE"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
20,20,,,,,Caixas,0.00,0.00,0.00,,,,,,,,"{""id"":""20"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" GAZE-COMPRESSA DE GAZE ESTERIL"",""unidadeMedida"":""Caixas"",""valorCustoBase"":""0"",""descricaoProduto"":""GAZE-COMPRESSA DE GAZE ESTERIL, COM 13 FIOS POR CM2, 8 CAMADAS, 5 DOBRAS, MEDINDO: 7,5X 7,5CM (FECHADA) E 15CMX30CM (ABERTA),PARA ASSEPSIA E CURATIVOS,EM EMBALAGEM APROPRIADA."",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
21,21,,,,,Caixas,0.00,0.00,0.00,,,,,,,,"{""id"":""21"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" CURATIVO ADESIVO"",""unidadeMedida"":""Caixas"",""valorCustoBase"":""0"",""descricaoProduto"":""CURATIVO ADESIVO-COM FILME TERMOPLASTICO ADESIVADO,PROTETORA,FIBRAS NATURAIS OU SINTETICAS E POLIETILENO,1,9X7,6CM,INVOLUCRO INDIVIDUAL INTEGRO,ESPECIFICANDO FABRICANTE, LOTE, DATA DE VALIDADE, DATA E TIPO DE ESTERILIZACAO E REGISTRO NO MS"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
22,22,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""22"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""CLORETO DE SODIO"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""CLORETO DE SODIO-CONCENTRACAO/DOSAGEM 9 MG/ML,FORMA FARMACEUTICA SOLUCAO ESTERIL,FORMA DE APRESENTACAO FRASCO,USO EXTERNO 500ML (SORO)"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
23,23,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""23"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""FILTRO SOLAR - PROTETOR SOLAR 50"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""FILTRO SOLAR-FATOR DE PROTECAO SOLAR 50 COM PROTECAO UVA/UVB,TIPO HIPOALERGENICO, NAO OLEOSO, NAO COMEDOGENICO E RESISTENTE A AGUA,FORMA FARMACEUTICA LOCAO CREMOSA HIDRATANTE,FORMA DE APRESENTACAO BISNAGA,VIA DE ADMINISTRACAO TOPICA 120ML"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
24,24,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""24"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" FILTRO SOLAR - PROTETOR SOLAR 30"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""FILTRO SOLAR-FATOR DE PROTECAO SOLAR 30 COM PROTECAO UVA/UVB,TIPO HIPOALERGENICO, SEM PERFUME, NAO COMEDOGENICO E RESISTENTE A AGUA,FORMA FARMACEUTICA BASTAO HIDRATANTE,FORMA DE APRESENTACAO TUBO PLASTICO,USO LABIAL,VIA DE ADMINISTRACAO TOPICA 120ML"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
25,25,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""25"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" SIMETICONA"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""SIMETICONA-CONCENTRACAO/DOSAGEM 75 MG/ML,FORMA FARMACEUTICA EMULSAO ORAL,FORMA DE APRESENTACAO FRASCO,VIA DE ADMINISTRACAO ORAL 15ML"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
26,26,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""26"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" CLOSTEBOL, ACETATO + NEOMICINA, SULFATO"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""CLOSTEBOL, ACETATO + NEOMICINA, SULFATO-CONCENTRACAO/DOSAGEM 5 MG/G + 5 MG/G,FORMA FARMACEUTICA CREME,FORMA DE APRESENTACAO BISNAGA,VIA DE ADMINISTRACAO TOPICA 30g"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
27,27,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""27"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" HIDROXIDO DE ALUMINIO"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""HIDROXIDO DE ALUMINIO-CONCENTRACAO/DOSAGEM 62 MG/ML,FORMA FARMACEUTICA SUSPENSAO ORAL,FORMA DE APRESENTACAO FRASCO,VIA DE ADMINISTRACAO ORAL 100ML"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
28,28,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""28"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" GLICOSIMETRO-PORTATIL"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""GLICOSIMETRO-PORTATIL,NA ESCALA DE 10 A 600 MG/DL,CALIBRACAO AUTOMATICA ,TEMPO DE TESTE 15 (QUINZE) SEGUNDOS,ALIMENTACAO 02 (DUAS) PILHAS PALITO,ACOMPANHA 50 (CINQUENTA) TIRAS DE TESTE, 50 (CINQUENTA) LANCETAS, 01 (UM) LANCETADOR,GARANTIA MINIMA DE 01 (UM) ANO, MANUAIS DE OPERACAO E SERVICO, ASSISTENCIA TECNICA EM PERNAMBUCO, PARA EFEITO DE ANALISE E PARECER DEVE ACOMPANHAR A PROPOSTA: CATALOGO OU FOLDER EM PORTUGUES OU COM TRADUCAO DO TEXTO PARA LINGUA PORTUGUESA REGISTRO NO MINISTERIO DA SAUDE;"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
29,29,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""29"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" PERMETRINA"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""PERMETRINA-CONCENTRACAO/DOSAGEM 50 MG/ML,FORMA FARMACEUTICA LOCAO,FORMA DE APRESENTACAO FRASCO,VIA DE ADMINISTRACAO TOPICA 60ML"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
30,30,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""30"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""TERMOMETRO DIGITAL"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""TERMOMETRO DIGITAL-TERMOMETRO CLINICO INFRAVERMELHO MIRA A LASER E EMISSAO AJUSTAVEL, ILUMINADO COM LUZ DE FUNDO AMBAR, DESLIGAMENTO EM 60 SEGUNDOS,FAIXA DE TEMPERATURA DO CORPO HUMANO,OPERACAO EM MEIO EXTERNO,BATERIA RECARREGAVEL COM AUTONOMIA MINIMA DE 12 HORAS,DIMENSOES APROXIMADAS DE 141,00X42,00X55,50CM (CXLXA) E PESO APROXIMADO DE 120G,AFERICAO DE TEMPERATURA SEM CONTATO COM O PACIENTE; CAPA PROTETORA RESISTENTE, MANUAL DE INSTRUCOES EM PORTUGUES, GARANTIA MINIMA DE 12 MESES. O EQUIPAMENTO DEVE ESTAR CALIBRADO E SER ENTREGUE COM LAUDO DE CALIBRACAO RASTREAVEL ATE A RBC EM PELO MENOS TRES PONTOS"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
31,31,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""31"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" ESTETOSCOPIO DE PINARD"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""ESTETOSCOPIO DE PINARD-EM ALUMINIO,TAMANHO 15,00 CM"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
32,32,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""32"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":"" APARELHO DE PRESSÃO - PORTATIL"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""ESFIGMOMANOMETRO-ANEROIDE, PORTATIL, ACONDICIONADO EM BOLSA DE COURVIN, COM BRACADEIRA (S) ADULTO, TRABALHANDO NA FAIXA DE ESCALA DE 0 A 300 MMHG, COM RESOLUCAO DE 2 MMHG, COM PERA DE BORRACHA COM REGISTRO E VALVULA ANTI-REFLUXO, COM MANGUITO (S) DE BORRACHA SEM EMENDAS (BOLSA E TUBOS CONECTORES), EM BRACADEIRA (S) EM TECIDO RESISTENTE DE ALGODAO C/ FECHO DE VELCRO"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
33,33,,,,,Caixas,0.00,0.00,0.00,,,,,,,,"{""id"":""33"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""CAPOTE - TIPO AVENTAL"",""unidadeMedida"":""Caixas"",""valorCustoBase"":""0"",""descricaoProduto"":""CAPOTE-PARA USO HOSPITALAR,TIPO AVENTAL, 1,55M DE LARGURA X 1,20M DE ALTURA, 50G/M2,PARA PROFISSIONAIS DE SAUDE, EM SMS NAO-TECIDO 100% POLIPROPILENO, ISENTO DE LATEX,MANGAS LONGAS E SOLDADAS COM PUNHO ELASTICO DE ALGODAO, COM CONFORTO TERMICO E DE MOBILIZACAO,ALTA RESISTENCIA A ABRASAO E RASGO E NAO PROPAGAR CHAMAS,IMPERMEAVEL A AGUA E ALCOOL,FECHAMENTO NAS COSTAS REGULAVEL, COM AMARRILHAS COM CARTAO DE SEGURANCA,DOBRADO DE FORMA ASSEPTICA"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
34,34,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""34"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""ESPARADRAPO - HIPOALERGICO"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""ESPARADRAPO COMUM-HIPOALERGICO, IMPERMEAVEL, MEDINDO 05 CM X 4,5 METROS,COM BOA ADESIVIDADE, EMBALAGEM EM CARRETEL COM CAPA PLASTICA DE PROTECAO, CONTENDO DADOS DE IDENTIFICACAO E PROCEDENCIA,LOTE, VALIDADE E REGISTRO NO MS."",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
35,35,,,,,Unidade,0.00,0.00,0.00,,,,,,,,"{""id"":""35"",""grupo"":""QUALIDADE DE VIDA"",""origem"":null,""status"":""ativo"",""fabricante"":null,""nomeProduto"":""OXIDO DE ZINCO + RETINOL + COLECALCIFEROL"",""unidadeMedida"":""Unidade"",""valorCustoBase"":""0"",""descricaoProduto"":""OXIDO DE ZINCO + RETINOL + COLECALCIFEROL-CONCENTRACAO/DOSAGEM (150 MG + 5.000 UI + 900 UI)/G RESPECTIVAMENTE,FORMA FARMACEUTICA POMADA,FORMA DE APRESENTACAO BISNAGA,VIA DE ADMINISTRACAO TOPICA 45G"",""contaPadraoPlanoFinanceiro"":""2.1.2.02.006 - KIT QUALIDADE DE VIDA""}","""2026-03-03T14:15:12.251Z""",0
